Organization,County,Program Name,Last Updated,Mon-Hours,Tues-Hours,Wed-Hours,Thur-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address,Addressline 2,City,Zip,website,Phone,Program Description,Notes,Serves
,,,,,,,,,,,,,,,,,,,
High Point Food Alliance,Guilford,High Point Food Alliance,,,,,,,,,815 Phillips Avenue,,High Point,,https://findfood.ghpfa.org/,,Resources for finding food,,
Interactive Resource Center,,Interactive Resource Center,,8:00-3:00 pm,8:00-3:00 pm,8:00-3:00 pm,8:00-3:00 pm,8:00-3:00 pm,,,407 E Washington Street,,Greensboro,27240,http://interactiveresourcecenter.org/,336-332-0824,"Case management, Medical Clinic, Mental Health Nurse, Referrals, and PATH street outreach. They offer showers, hygiene supplies, laundry, replacement ID's, phone access, mailing address, on site barber shop, storage lockers, white flag warming center, classes for, resume and job application assistance, GED classes, interview training, professional clothing vouchers, financial literacy",,
Out of the Garden Project,Guilford,Hot Meals and Food Pantry,,11:00am-12:00pm,,11:00am-12:00pm,,11:00am-12:00pm,,,1806 Merrit Drive,,Greensboro,27407,https://outofthegardenproject.org/,,PATH Street Outreach,Hot meals Monday Wednesday and Fridays from 11am to noon for families with school age children at Daystar Community Center 1806 Merritt Drive. You will receive some shelf stable items as well. (3/17),
Guilford County Schools,Guilford,Grab & Go Meals - Alderman Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,4211 Chateau Drive,, Greensboro,,https://www.gcsnc.com/,,Medical clinic,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Allen Jay Middle,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1201 E. Fairfield Road,, High Point,,https://www.gcsnc.com/,,Mental health nurse,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Archer Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2610 Four Seasons Blvd.,,Greensboro,,https://www.gcsnc.com/,,Referrals,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Bluford Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1901 Tuscaloosa Street,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Cone Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2501 N. Church Street,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Dudley High,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1200 Lincoln Street,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Eastern High,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,415 Peeden Drive,, Gibsonville,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Fairview Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,608 Fairview Street,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Foust Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2610 Floyd Street,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Hairston Middle,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,3911 Naco Road ,,Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - High Point Central High,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,801 Ferndale Blvd. ,,High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Hunter Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1305 Merritt Drive,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Irving Park Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1310 Sunset Drive,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Jackson Middle,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2200 Ontario Street,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Jamestown Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,108 Potter Drive,, Jamestown,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Johnson Street Global,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1601 Johnson Street,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Jones Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,502 South Street,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Kirkman Park Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1101 N. Centennial Street,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Montlieu Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1105 Montlieu Avenue,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Morehead Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,4630 Tower Road,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Northeast High,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,6700 McLeansville Road,, McLeansville,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Northwest High,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,5240 Northwest School Road,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Oak Hill Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,320 Wrightenberry Street,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Oak View Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,614 Oakview Road,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Parkview Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,325 Gordon Street,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Peck Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1601 West Florida Street,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Ragsdale High,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1000 Lucy Ragsdale Drive,, Jamestown,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Rankin Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1501 Spry Street,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Southeast High,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,4530 Southeast School Road,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Southern High,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,5700 Drake Rd,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Swann Middle,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,811 Cypress Street,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Washington Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1110 E. Washington Street,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Welborn Middle,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1710 McGuinn Drive,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Western Middle,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,401 College Road,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Wiley Elementary,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,600 West Terrell Street,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Park Street Terrace Apartments,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,885 Sharon Street,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Brentwood Crossing,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,200 Brentwood Street,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - New Gate Apartments,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1605 Ganby Avenue,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Laurelwood Apartments,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1300 Burton Road,,  High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
