"Organization","County","Program","lastUpdated","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Address1","Address2","City","Zip","website","Phone","Description","Notes","Serves","AddressLine","lon","lat","geoAddress"
"Guilford County Schools","Guilford","Grab & Go Meals - Bluford Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1901 Tuscaloosa Street",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1901 Tuscaloosa Street Greensboro, NC",-79.7646078,36.0577655,"1901 tuscaloosa st, greensboro, nc 27401, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Cone Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","2501 N. Church Street",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"2501 N. Church Street Greensboro, NC",-79.7813281,36.1080744,"2501 n church st, greensboro, nc 27405, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Dudley High",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1200 Lincoln Street",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1200 Lincoln Street Greensboro, NC",-79.762302,36.06138,"1200 lincoln st, greensboro, nc 27401, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Eastern High",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","415 Peeden Drive",NA,"Gibsonville",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"415 Peeden Drive Gibsonville, NC",-79.615576,36.0946279,"415 peeden dr, gibsonville, nc 27249, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Fairview Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","608 Fairview Street",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"608 Fairview Street High Point, NC",-80.0074642,35.947588,"608 fairview st, high point, nc 27260, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Foust Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","2610 Floyd Street",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"2610 Floyd Street Greensboro, NC",-79.8092312,36.0372463,"2610 floyd st, greensboro, nc 27406, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Hairston Middle",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","3911 Naco Road",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"3911 Naco Road Greensboro, NC",-79.7384171,36.0814709,"3911 naco rd, greensboro, nc 27401, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - High Point Central High",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","801 Ferndale Blvd.",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"801 Ferndale Blvd. High Point, NC",-80.0211513,35.9569038,"801 ferndale blvd, high point, nc 27262, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Hunter Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1305 Merritt Drive",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1305 Merritt Drive Greensboro, NC",-79.851826,36.051857,"1305 merritt dr, greensboro, nc 27407, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Irving Park Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1310 Sunset Drive",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1310 Sunset Drive Greensboro, NC",-79.8135216,36.0966334,"1310 sunset dr, greensboro, nc 27408, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Jackson Middle",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","2200 Ontario Street",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"2200 Ontario Street Greensboro, NC",-79.8275254,36.0479436,"2200 ontario st, greensboro, nc 27403, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Jamestown Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","108 Potter Drive",NA,"Jamestown",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"108 Potter Drive Jamestown, NC",-79.9403911,35.9935931,"108 potter dr, jamestown, nc 27282, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Johnson Street Global",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1601 Johnson Street",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1601 Johnson Street High Point, NC",-80.0175169,35.9780285,"1601 johnson st, high point, nc 27262, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Jones Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","502 South Street",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"502 South Street Greensboro, NC",-79.7978914,36.0555757,"502 south st, greensboro, nc 27406, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Kirkman Park Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1101 N. Centennial Street",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1101 N. Centennial Street High Point, NC",-80.003043,35.973671,"1101 n centennial st, high point, nc 27262, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Montlieu Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1105 Montlieu Avenue",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1105 Montlieu Avenue High Point, NC",-79.9852139,35.9766361,"1105 montlieu ave, high point, nc 27262, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Morehead Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","4630 Tower Road",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"4630 Tower Road Greensboro, NC",-79.8667982,36.0802289,"4630 tower rd, greensboro, nc 27410, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Northeast High",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","6700 McLeansville Road",NA,"McLeansville",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"6700 McLeansville Road McLeansville, NC",-79.6734524,36.1586072,"6700 mcleansville rd, mcleansville, nc 27301, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Northwest High",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","5240 Northwest School Road",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"5240 Northwest School Road Greensboro, NC",-79.9533469,36.155372,"5240 nw school rd, greensboro, nc 27409, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Oak Hill Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","320 Wrightenberry Street",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"320 Wrightenberry Street High Point, NC",-80.025848,35.9358039,"320 wrightenberry st, high point, nc 27260, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Oak View Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","614 Oakview Road",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"614 Oakview Road High Point, NC",-80.0160023,35.9999141,"614 oakview rd, high point, nc 27265, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Parkview Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","325 Gordon Street",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"325 Gordon Street High Point, NC",-79.9830726,35.9693771,"325 gordon st, high point, nc 27260, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Peck Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1601 West Florida Street",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1601 West Florida Street Greensboro, NC",-79.8176267,36.0512123,"1601 w florida st, greensboro, nc 27403, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Ragsdale High",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1000 Lucy Ragsdale Drive",NA,"Jamestown",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1000 Lucy Ragsdale Drive Jamestown, NC",-79.9164009,35.9943517,"1000 lucy ragsdale dr, jamestown, nc 27282, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Rankin Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1501 Spry Street",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1501 Spry Street Greensboro, NC",-79.763688,36.120172,"1501 spry st, greensboro, nc 27405, usa"
